fold,train_start,train_end_exclusive,test_start,test_end_exclusive,train_samples,test_samples
1,2018-01-04,2024-01-04,2024-01-04,2024-01-18,9336,60
2,2018-01-18,2024-01-18,2024-01-18,2024-02-01,9336,60
3,2018-02-01,2024-02-01,2024-02-01,2024-02-15,9336,60
4,2018-02-15,2024-02-15,2024-02-15,2024-02-29,9336,60
5,2018-03-01,2024-03-01,2024-03-01,2024-03-15,9342,60
6,2018-03-15,2024-03-15,2024-03-15,2024-03-29,9342,60
7,2018-03-29,2024-03-29,2024-03-29,2024-04-12,9342,60
8,2018-04-12,2024-04-12,2024-04-12,2024-04-26,9342,60
9,2018-04-26,2024-04-26,2024-04-26,2024-05-10,9342,60
10,2018-05-10,2024-05-10,2024-05-10,2024-05-24,9342,60
11,2018-05-24,2024-05-24,2024-05-24,2024-06-07,9342,60
12,2018-06-07,2024-06-07,2024-06-07,2024-06-21,9342,60
13,2018-06-21,2024-06-21,2024-06-21,2024-07-05,9342,60
14,2018-07-05,2024-07-05,2024-07-05,2024-07-19,9342,60
15,2018-07-19,2024-07-19,2024-07-19,2024-08-02,9342,60
16,2018-08-02,2024-08-02,2024-08-02,2024-08-16,9342,60
17,2018-08-16,2024-08-16,2024-08-16,2024-08-30,9342,60
18,2018-08-30,2024-08-30,2024-08-30,2024-09-13,9342,60
19,2018-09-13,2024-09-13,2024-09-13,2024-09-27,9342,60
20,2018-09-27,2024-09-27,2024-09-27,2024-10-11,9342,60
21,2018-10-11,2024-10-11,2024-10-11,2024-10-25,9342,60
22,2018-10-25,2024-10-25,2024-10-25,2024-11-08,9342,61
23,2018-11-08,2024-11-08,2024-11-08,2024-11-22,9343,60
24,2018-11-22,2024-11-22,2024-11-22,2024-12-06,9343,60
25,2018-12-06,2024-12-06,2024-12-06,2024-12-20,9343,60
26,2018-12-20,2024-12-20,2024-12-20,2025-01-03,9343,48
27,2019-01-03,2025-01-03,2025-01-03,2025-01-17,9343,60
28,2019-01-17,2025-01-17,2025-01-17,2025-01-31,9343,60
29,2019-01-31,2025-01-31,2025-01-31,2025-02-14,9343,60
30,2019-02-14,2025-02-14,2025-02-14,2025-02-28,9343,60
31,2019-02-28,2025-02-28,2025-02-28,2025-03-14,9343,60
32,2019-03-14,2025-03-14,2025-03-14,2025-03-28,9343,60
33,2019-03-28,2025-03-28,2025-03-28,2025-04-11,9343,60
34,2019-04-11,2025-04-11,2025-04-11,2025-04-25,9343,60
35,2019-04-25,2025-04-25,2025-04-25,2025-05-09,9343,60
36,2019-05-09,2025-05-09,2025-05-09,2025-05-23,9343,60
37,2019-05-23,2025-05-23,2025-05-23,2025-06-06,9343,60
38,2019-06-06,2025-06-06,2025-06-06,2025-06-20,9343,60
39,2019-06-20,2025-06-20,2025-06-20,2025-07-04,9343,60
40,2019-07-04,2025-07-04,2025-07-04,2025-07-18,9343,60
41,2019-07-18,2025-07-18,2025-07-18,2025-08-01,9343,60
42,2019-08-01,2025-08-01,2025-08-01,2025-08-15,9343,60
43,2019-08-15,2025-08-15,2025-08-15,2025-08-29,9343,60
44,2019-08-29,2025-08-29,2025-08-29,2025-09-12,9343,60
45,2019-09-12,2025-09-12,2025-09-12,2025-09-26,9343,60
46,2019-09-26,2025-09-26,2025-09-26,2025-10-10,9343,60
47,2019-10-10,2025-10-10,2025-10-10,2025-10-24,9343,23
