fold,train_start,train_end,test_start,test_end,train_samples,test_samples,split_ratio
1,2018-01-02,2018-07-01,2018-07-02,2019-01-01,774,780,0.4980694980694981
2,2018-07-02,2019-01-01,2019-01-02,2019-07-01,780,774,0.5019305019305019
3,2019-01-02,2019-07-01,2019-07-02,2020-01-01,774,780,0.4980694980694981
4,2019-07-02,2020-01-01,2020-01-02,2020-07-01,780,780,0.5
5,2020-01-02,2020-07-01,2020-07-02,2021-01-01,780,780,0.5
6,2020-07-02,2021-01-01,2021-01-02,2021-07-01,780,774,0.5019305019305019
7,2021-01-02,2021-07-01,2021-07-02,2022-01-01,774,786,0.49615384615384617
8,2021-07-02,2022-01-01,2022-01-02,2022-07-01,786,780,0.5019157088122606
9,2022-01-02,2022-07-01,2022-07-02,2023-01-01,780,774,0.5019305019305019
10,2022-07-02,2023-01-01,2023-01-02,2023-07-01,774,780,0.4980694980694981
11,2023-01-02,2023-07-01,2023-07-02,2024-01-01,780,774,0.5019305019305019
12,2023-07-02,2024-01-01,2024-01-02,2024-07-01,774,780,0.4980694980694981
13,2024-01-02,2024-07-01,2024-07-02,2025-01-01,780,781,0.4996796925048046
14,2024-07-02,2025-01-01,2025-01-02,2025-07-01,781,774,0.5022508038585209
