fold,train_start,train_end,test_start,test_end,train_samples,test_samples,mae_open,mae_high,mae_low,mae_close,mae_avg
1,2018-01-02,2018-07-01,2018-07-02,2019-01-01,774,780,0.003634440769230776,0.0037233215384615418,0.003580206923076927,0.0036595791025641035,0.0036493870833333372
2,2018-07-02,2019-01-01,2019-01-02,2019-07-01,780,774,0.0016303623225806456,0.0022406343225806423,0.0018427254193548455,0.0027871602580645167,0.0021252205806451623
3,2019-01-02,2019-07-01,2019-07-02,2020-01-01,774,780,0.002699259358974361,0.002076865512820517,0.0023120614102564076,0.0013476611538461524,0.0021089618589743594
4,2019-07-02,2020-01-01,2020-01-02,2020-07-01,780,780,0.002276069615384625,0.002406007820512831,0.0026106423076923146,0.002453243076923077,0.0024364907051282123
5,2020-01-02,2020-07-01,2020-07-02,2021-01-01,780,780,0.043765940384615384,0.04397863615384616,0.059418988205128205,0.04424932717948718,0.04785322298076923
6,2020-07-02,2021-01-01,2021-01-02,2021-07-01,780,774,0.0009531909677419347,0.0013594423225806488,0.0014145931612903242,0.0016532159999999992,0.0013451106129032267
7,2021-01-02,2021-07-01,2021-07-02,2022-01-01,774,786,0.004358769847328238,0.0035494494910941446,0.0024479720101781184,0.004705285368956742,0.003765369179389311
8,2021-07-02,2022-01-01,2022-01-02,2022-07-01,786,780,0.016790612676056336,0.01716231690140845,0.01748203828425096,0.0129021233034571,0.01608427279129321
9,2022-01-02,2022-07-01,2022-07-02,2023-01-01,780,774,0.004047132632258069,0.004972877858064518,0.0059770699612903214,0.0070053955225806465,0.005500618993548388
10,2022-07-02,2023-01-01,2023-01-02,2023-07-01,774,780,0.002828700641025647,0.0030508770512820476,0.003681570769230764,0.003142421025641025,0.003175892371794871
11,2023-01-02,2023-07-01,2023-07-02,2024-01-01,780,774,0.0035127019354838657,0.003861366193548385,0.0032560236129032215,0.004180030838709675,0.003702530645161287
12,2023-07-02,2024-01-01,2024-01-02,2024-07-01,774,780,0.0009165532051282042,0.001415160641025638,0.0011256952564102558,0.001490249871794871,0.0012369147435897423
13,2024-01-02,2024-07-01,2024-07-02,2025-01-01,780,781,0.011156558439897699,0.01211206202046036,0.013058386828644497,0.010083059590792849,0.011602516719948852
14,2024-07-02,2025-01-01,2025-01-02,2025-07-01,781,774,0.011397544444444447,0.00782025749354005,0.007408108139534885,0.008091386821705432,0.008679324224806204
