fold,train_start,train_end,test_start,test_end,mae_open,mae_high,mae_low,mae_close,mae_avg
1,2018-01-02,2019-01-01,2019-01-02,2019-07-01,0.0019440854005167985,0.002412548191214466,0.00234915981912145,0.0023232332041343705,0.002257256653746771
2,2018-07-02,2019-07-01,2019-07-02,2020-01-01,0.0023474528809219,0.0026888065300896317,0.0019087152368757975,0.0028086074263764392,0.0024383955185659422
3,2019-01-02,2020-01-01,2020-01-02,2020-07-01,0.002352664404609473,0.002750175928297055,0.004707477720870679,0.003069994366197184,0.0032200781049935975
4,2019-07-02,2020-07-01,2020-07-02,2021-01-01,0.07664406987179487,0.038638298333333335,0.1414532211153846,0.031651963076923084,0.07209688809935898
5,2020-01-02,2021-01-01,2021-01-02,2021-07-01,0.0027878356129032236,0.002950161161290324,0.0033962490322580635,0.0034394388387096737,0.0031434211612903214
6,2020-07-02,2021-07-01,2021-07-02,2022-01-01,0.0025955818297331576,0.0033942421855146106,0.0027359124523507017,0.0031729072426937696,0.0029746609275730597
7,2021-01-02,2022-01-01,2022-01-02,2022-07-01,0.004795493076923072,0.006455395,0.006256175897435897,0.004638876666666664,0.005536485160256409
8,2021-07-02,2022-07-01,2022-07-02,2023-01-01,0.011349118541935484,0.0117977904,0.01473540348387097,0.005819984270967743,0.010925574174193549
9,2022-01-02,2023-01-01,2023-01-02,2023-07-01,0.0012187092189500644,0.0018558540332906533,0.00171273469910371,0.0020633649167733654,0.0017126657170294483
10,2022-07-02,2023-07-01,2023-07-02,2024-01-01,0.001406096899224811,0.0019101232558139574,0.0022260359173126576,0.00234620245478036,0.0019721146317829463
11,2023-01-02,2024-01-01,2024-01-02,2024-07-01,0.00043465851472471254,0.0009224197183098604,0.0010367256081946225,0.0012118079385403384,0.0009014029449423835
12,2023-07-02,2024-07-01,2024-07-02,2025-01-01,0.0008485078104993509,0.0012646007682458361,0.001200497183098589,0.0013394891165172845,0.0011632737195902652
13,2024-01-02,2025-01-01,2025-01-02,2025-07-01,0.00130099380645161,0.0024335603870967726,0.002361305935483872,0.0026438260645161365,0.0021849215483870977
